file,modality,z,y,x,spacing_x,spacing_y,spacing_z,all_min,all_p0.1,all_p0.5,all_p1,all_median,all_p99,all_p99.5,all_p99.9,all_max,all_mean,all_std,nz_min,nz_p0.1,nz_p0.5,nz_p1,nz_median,nz_p99,nz_p99.5,nz_p99.9,nz_max,nz_mean,nz_std
topaneu_center1_mr_001_0000.nii.gz,MRA,264,426,352,0.3819439709186554,0.3819439709186554,0.45002976059913635,0.0,0.0,0.0,0.0,66.00491333007812,149.00137329101562,163.9978790283203,352.0036926269531,1108.0,55.19096374511719,43.445350646972656,0.9975128173828125,0.9975128173828125,0.9975128173828125,0.9975128173828125,68.99745178222656,149.99888610839844,164.99539184570312,360.9981994628906,1108.0,57.681175231933594,42.767086029052734
topaneu_center1_mr_005_0000.nii.gz,MRA,240,461,390,0.38194403052330017,0.3819439709186554,0.4500345289707184,0.0,0.0,0.0,0.0,32.00030517578125,81.99893188476562,90.99809265136719,177.99984741210938,388.0,30.61887550354004,21.579055786132812,1.0005645751953125,1.0005645751953125,1.0005645751953125,1.0005645751953125,34.001434326171875,81.99893188476562,91.9986572265625,182.00210571289062,388.0,32.153079986572266,20.968036651611328
topaneu_center1_mr_016_0000.nii.gz,MRA,248,437,344,0.3819439709186554,0.3819440007209778,0.44962453842163086,0.0,0.0,0.0,0.0,72.00083923339844,142.00396728515625,161.9977264404297,387.0065612792969,1091.0,62.1385383605957,42.75658416748047,0.9988555312156677,0.9988555312156677,0.9988555312156677,1.9977110624313354,73.99855041503906,143.00282287597656,162.99658203125,392.99969482421875,1091.0,64.4277114868164,41.808929443359375
topaneu_center1_mr_017_0000.nii.gz,MRA,248,477,376,0.38194403052330017,0.3819440007209778,0.4500090181827545,0.0,0.0,0.0,0.0,87.00709533691406,192.9951934814453,216.00640869140625,504.0041198730469,1065.0,75.8399887084961,52.657623291015625,1.007553219795227,1.007553219795227,1.007553219795227,1.9988555908203125,89.00595092773438,194.00274658203125,218.00526428222656,511.9995422363281,1065.0,78.41354370117188,51.62477111816406
topaneu_center1_mr_018_0000.nii.gz,MRA,233,465,356,0.3819439709186554,0.38194403052330017,0.4500280022621155,0.0,0.0,0.0,0.0,76.006103515625,189.00404357910156,211.99664306640625,470.9968566894531,940.0,67.31304168701172,53.19544219970703,1.004043698310852,1.004043698310852,1.004043698310852,1.004043698310852,84.99946594238281,192.0018310546875,217.0025177001953,483.0023498535156,940.0,73.63704681396484,51.28281021118164
topaneu_center1_mr_024_0000.nii.gz,MRA,160,749,516,0.2511160373687744,0.2511160671710968,0.6999977827072144,0.0,0.0,0.0,0.0,44.001678466796875,99.99847412109375,106.00137329101562,181.99893188476562,350.0,39.86669921875,24.258893966674805,1.997406005859375,3.0014495849609375,3.0014495849609375,3.0014495849609375,45.99908447265625,99.99847412109375,107.00007629394531,184.00167846679688,350.0,41.237266540527344,23.49909210205078
topaneu_center1_mr_028_0000.nii.gz,MRA,248,438,368,0.38194403052330017,0.3819439709186554,0.45002424716949463,0.0,0.0,0.0,0.0,57.99900817871094,127.00328063964844,146.003173828125,379.99786376953125,829.0,52.64626693725586,38.29750061035156,0.99932861328125,0.99932861328125,0.99932861328125,0.99932861328125,60.99699401855469,128.0026092529297,149.00115966796875,384.9945068359375,829.0,54.953224182128906,37.47258377075195
topaneu_center1_mr_029_0000.nii.gz,MRA,138,719,558,0.2511160373687744,0.2511160671710968,0.6999973058700562,0.0,0.0,0.0,0.0,103.00205993652344,224.0069580078125,249.99771118164062,486.0015563964844,984.0,91.44163513183594,54.931007385253906,4.9999542236328125,8.993911743164062,9.999908447265625,11.005905151367188,106.00503540039062,224.99794006347656,251.0037078857422,489.9955139160156,984.0,94.33082580566406,53.29365539550781
topaneu_center1_mr_033_0000.nii.gz,MRA,175,790,563,0.2455357164144516,0.2455357015132904,0.4999966025352478,0.0,0.0,0.0,0.0,106.9940414428711,256.0030517578125,290.0006408691406,554.0020141601562,1251.0,95.90117645263672,63.00898742675781,7.00567626953125,10.002655029296875,10.995285034179688,12.007003784179688,109.99102020263672,258.0074157714844,292.0049743652344,559.0032958984375,1251.0,98.58013916015625,61.78142547607422
topaneu_center1_mr_038_0000.nii.gz,MRA,216,771,572,0.2343750149011612,0.234375,0.500036895275116,0.0,0.0,0.0,0.0,78.99758911132812,181.99444580078125,199.993896484375,387.0022888183594,923.0,73.36615753173828,46.51450729370117,4.999847412109375,6.999786376953125,7.999755859375,7.999755859375,80.99752807617188,182.99441528320312,199.993896484375,394.0020751953125,923.0,76.05277252197266,45.14979553222656
topaneu_center1_mr_049_0000.nii.gz,MRA,199,469,372,0.3819440007209778,0.3819440007209778,0.45004141330718994,0.0,0.0,0.0,0.0,69.00587463378906,179.0023651123047,196.9951934814453,415.99969482421875,820.0,63.30484390258789,47.41905975341797,1.0009918212890625,1.0009918212890625,1.0009918212890625,1.0009918212890625,70.99534606933594,180.00335693359375,196.9951934814453,420.003662109375,820.0,65.21336364746094,46.81769561767578
